lt_ppt_mapping,location,olam_view,mv_cost_centre,finance_cost_centre,team,country,pnl,cash_commitment,Normalised,mgmt_pnl_cost_type,general_ledger_desc,description,date,value,close_date
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-01-31,-34782,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-02-28,-117873.31,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-03-31,-107513,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-04-30,-82055,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-05-31,-87198.46,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-06-30,-90072,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-07-31,-119191.9,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-08-31,-131404.51,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-09-30,-112969.32,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-10-31,-116366.55,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-11-30,-139469.33,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2023-12-31,-132844.24,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-01-31,-172572.27,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-02-29,-82066.85,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-03-31,-118128.63,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-04-30,-168743.88,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-05-31,-195334.86,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-06-30,-215328.7,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-07-31,-254514.05,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-08-31,-292245.14,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-09-30,-334871.47,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-10-31,-371526.33,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-11-30,-407971.19,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2024-12-31,-444416.04,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-01-31,-552270,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-02-28,-660596.46,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-03-31,-685222.6,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-04-30,-695911.91,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-05-31,-724130.19,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-06-30,-750908.31,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-07-31,-787393.75,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-08-31,-823570.58,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-09-30,-874428.52,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-10-31,-926386.41,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-11-30,-978344.3,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2025-12-31,-1064048.51,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-01-31,-1229680.52,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-02-28,-1398511.26,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-03-31,-1439367.96,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-04-30,-1481454.74,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-05-31,-1527873.87,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-06-30,-1580647.46,2024-03-22
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,0,Subscriptions,Service Charges Received,Subscriptions,2026-07-31,-1644843.81,2024-03-22
