lt_ppt_mapping,location,olam_view,mv_cost_centre,finance_cost_centre,team,country,pnl,cash_commitment,normalised,mgmt_pnl_cost_type,general_ledger_desc,description,date,value,close_date,import_date
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-01-31,-34782,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-02-28,-117873,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-03-31,-107513,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-04-30,-82055,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-05-31,-87198.5,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-06-30,-90072,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-07-31,-119192,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-08-31,-131405,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-09-30,-112969,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-10-31,-116367,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-11-30,-139469,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2023-12-31,-132844,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-01-31,-172572,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-02-29,-82066.9,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-03-31,-117280,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-04-30,-155821,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-05-31,-157563,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-06-30,-185292,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-07-31,-228836,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-08-31,-277365,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-09-30,-331383,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-10-31,-382975,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-11-30,-428118,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2024-12-31,-433922,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-01-31,-434890,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-02-28,-461353,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-03-31,-483615,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-04-30,-483750,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-05-31,-504992,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-06-30,-524324,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-07-31,-555313,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-08-31,-654284,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-09-30,-752920,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-10-31,-851891,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-11-30,-900636,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2025-12-31,-967716,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-01-31,-1018377,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-02-28,-1073114,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-03-31,-1112349,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-04-30,-1158484,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-05-31,-1209085,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-06-30,-1254082,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-07-31,-1314734,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-08-31,-1470271,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-09-30,-1642192,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-10-31,-1798282,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-11-30,-2066691,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2026-12-31,-2126350,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-01-31,-2206786,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-02-28,-2486970,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-03-31,-2561944,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-04-30,-2646383,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-05-31,-2728339,2024-05-31,2024-06-18
Revenue - Subscriptions,Revenue,Total Revenue,Revenue - Subscriptions,0,Revenue,SGA0,TRUE,FALSE,FALSE,Subscriptions,Service Charges Received,Subscriptions,2027-06-30,-2812563,2024-05-31,2024-06-18
